time,x,y,z
1669192117.805025, -98.708543, -53.246232, 0.559000
1669192118.805919, -97.916268, -52.726468, 0.572000
1669192119.806752, -97.222394, -52.382028, 0.597000
1669192120.805966, -96.351229, -52.096632, 0.633000
1669192121.804930, -95.506515, -51.765661, 0.693000
1669192122.804898, -94.560786, -51.466918, 0.696000
1669192123.803895, -93.755684, -51.222754, 0.754000
1669192124.801679, -92.769566, -51.029560, 0.798000
1669192125.802730, -91.798676, -50.878829, 0.820000
1669192126.802597, -90.822773, -50.688235, 0.815000
1669192127.801829, -89.821508, -50.457384, 0.797000
1669192128.804048, -88.946770, -50.437628, 0.760000
1669192129.803464, -88.088344, -50.568326, 0.746000
1669192130.804472, -87.213549, -50.801021, 0.744000
1669192131.804603, -86.408761, -51.148860, 0.726000
1669192132.804696, -85.625216, -51.620436, 0.702000
1669192133.802619, -84.818407, -52.157877, 0.687000
1669192134.805217, -84.069105, -52.664197, 0.714000
1669192135.806241, -83.235166, -53.180644, 0.709000
1669192136.803012, -82.430125, -53.707698, 0.727000
1669192137.806209, -81.607137, -54.225994, 0.750000
1669192138.806830, -80.777395, -54.751802, 0.737000
1669192139.805477, -79.988564, -55.264525, 0.750000
1669192140.805679, -79.218738, -55.830745, 0.771000
1669192141.809453, -78.543908, -56.433268, 0.776000
1669192142.803502, -77.860053, -57.103449, 0.778000
1669192143.803354, -77.212947, -57.814989, 0.779000
1669192144.803813, -76.530229, -58.543408, 0.769000
1669192145.803187, -75.901456, -59.251124, 0.769000
1669192146.803259, -75.248830, -59.972375, 0.744000
1669192147.804183, -74.557088, -60.680233, 0.720000
1669192148.801510, -73.818496, -61.324339, 0.630000
1669192149.802531, -73.122119, -61.917610, 0.590000
1669192150.804305, -72.383141, -62.565422, 0.537000
1669192151.801993, -71.666017, -63.249482, 0.518000
1669192152.803283, -70.939858, -63.806453, 0.458000
1669192153.803534, -70.132892, -64.202413, 0.393000
1669192154.800753, -69.360221, -64.468514, 0.384000
1669192155.803074, -68.499277, -64.538961, 0.421000
