time,x,y,z
1669186310.305882, 3.119095, 0.823762, -3.391896
1669186310.404889, 3.173678, 0.867223, -3.498894
1669186310.509877, 3.228449, 0.921778, -3.640893
1669186310.607677, 3.274061, 0.965392, -3.776892
1669186310.702872, 3.319672, 1.009005, -3.911891
1669186310.805872, 3.374067, 1.041373, -3.935889
1669186310.908121, 3.428650, 1.084835, -3.904887
1669186311.005865, 3.483233, 1.128296, -3.934886
1669186311.105861, 3.537627, 1.160664, -3.972884
1669186311.206856, 3.592210, 1.204125, -4.021883
1669186311.304988, 3.637634, 1.236645, -4.023882
1669186311.405267, 3.674085, 1.269318, -4.031881
1669186311.512888, 3.710348, 1.290896, -4.058879
1669186311.605007, 3.746611, 1.312475, -4.064878
1669186311.705845, 3.783063, 1.345147, -4.110877
1669186311.808219, 3.819702, 1.388913, -4.148877
1669186311.905850, 3.856153, 1.421585, -4.146876
1669186312.005872, 3.892417, 1.443163, -4.163875
1669186312.108076, 3.919896, 1.475988, -4.186874
1669186312.205842, 3.947188, 1.497718, -4.240873
1669186312.305835, 3.974479, 1.519449, -4.350872
1669186312.406826, 4.001771, 1.541180, -4.429872
1669186312.508932, 4.020090, 1.563063, -4.502871
1669186312.606844, 4.056730, 1.606828, -4.498870
1669186312.708056, 4.075237, 1.639805, -4.509870
1669186312.805818, 4.093933, 1.683874, -4.513870
1669186312.908524, 4.121413, 1.716699, -4.494869
1669186313.006818, 4.130761, 1.738733, -4.497869
1669186313.106809, 4.140297, 1.771862, -4.592869
1669186313.206808, 4.167776, 1.804686, -4.660868
1669186313.308373, 4.177124, 1.826721, -4.733868
1669186313.403865, 4.186096, 1.826569, -4.779868
1669186313.509801, 4.186284, 1.837662, -4.836868
1669186313.605802, 4.186284, 1.837662, -4.911868
1669186313.704086, 4.195444, 1.848604, -4.945868
1669186313.804802, 4.204980, 1.881732, -4.975868
1669186313.905790, 4.196760, 1.926258, -5.006869
1669186314.004822, 4.188353, 1.959691, -5.042869
1669186314.104897, 4.179757, 1.982030, -5.037870
1669186314.205782, 4.188917, 1.992971, -4.991870
1669186314.301777, 4.225368, 2.025644, -5.026869
1669186314.405775, 4.234528, 2.036585, -5.057869
1669186314.510776, 4.243688, 2.047526, -5.066868
1669186314.606769, 4.253036, 2.069561, -5.074868
1669186314.706766, 4.262384, 2.091596, -5.136868
1669186314.828800, 4.280327, 2.091292, -5.181867
1669186314.906765, 4.298271, 2.090988, -5.210867
1669186315.006765, 4.307243, 2.090836, -5.311867
1669186315.107819, 4.298647, 2.113175, -5.430867
1669186315.204087, 4.325750, 2.123812, -5.465866
1669186315.307977, 4.370797, 2.134145, -5.470865
1669186315.407981, 4.415656, 2.133385, -5.397863
1669186315.511999, 4.442760, 2.144022, -5.364862
1669186315.607810, 4.451920, 2.154963, -5.357862
1669186315.708956, 4.461079, 2.165905, -5.305862
1669186315.808769, 4.488183, 2.176542, -5.317861
1669186315.908842, 4.497343, 2.187483, -5.272861
1669186316.008448, 4.524446, 2.198121, -5.216860
1669186316.102736, 4.560709, 2.219699, -5.222859
1669186316.205734, 4.596785, 2.230184, -5.224858
1669186316.308395, 4.596785, 2.230184, -5.138858
1669186316.406728, 4.579029, 2.241582, -5.007858
1669186316.513127, 4.570433, 2.263921, -4.879859
1669186316.609236, 4.588753, 2.285804, -4.786858
1669186316.708730, 4.597913, 2.296745, -4.697858
1669186316.807779, 4.615668, 2.285348, -4.608857
1669186316.909718, 4.642396, 2.273798, -4.547856
1669186317.003965, 4.677907, 2.251003, -4.501855
1669186317.107980, 4.713418, 2.228207, -4.389853
1669186317.207978, 4.730985, 2.205716, -4.303852
1669186317.308002, 4.757524, 2.183073, -4.222851
1669186317.406710, 4.793412, 2.182464, -4.175850
1669186317.515248, 4.811543, 2.193254, -4.097849
1669186317.606699, 4.838459, 2.192797, -4.029848
1669186317.707937, 4.882941, 2.169850, -3.963846
1669186317.809701, 4.900509, 2.147359, -3.883846
1669186317.902689, 4.909104, 2.125020, -3.806845
1669186318.005694, 4.935456, 2.091283, -3.706844
1669186318.108355, 4.943863, 2.057850, -3.639843
1669186318.206682, 4.952459, 2.035511, -3.653843
1669186318.305102, 4.979186, 2.023961, -3.650841
1669186318.406677, 4.988158, 2.023809, -3.626841
1669186318.511737, 5.006102, 2.023505, -3.614840
1669186318.608029, 5.024045, 2.023201, -3.625840
1669186318.707931, 5.050772, 2.011651, -3.615839
1669186318.803896, 5.050584, 2.000558, -3.587839
1669186318.907886, 5.050396, 1.989464, -3.553838
1669186319.106672, 5.058616, 1.944938, -3.500838
1669186319.205657, 5.085343, 1.933388, -3.475837
1669186319.307894, 5.121418, 1.943873, -3.431835
1669186319.405654, 5.148334, 1.943417, -3.417834
1669186319.510653, 5.166089, 1.932019, -3.413834
1669186319.608257, 5.183469, 1.898435, -3.378833
1669186319.702648, 5.173933, 1.865306, -3.318833
1669186319.806645, 5.164397, 1.832178, -3.312833
1669186319.906643, 5.154861, 1.799049, -3.311833
1669186320.006669, 5.154485, 1.776862, -3.329832
1669186320.106639, 5.189996, 1.754067, -3.302831
1669186320.207698, 5.225695, 1.742365, -3.257829
1669186320.307965, 5.234290, 1.720026, -3.199829
1669186320.407854, 5.233538, 1.675652, -3.179828
1669186320.515901, 5.241758, 1.631126, -3.172828
1669186320.605629, 5.250165, 1.597693, -3.175827
1669186320.707879, 5.249601, 1.564413, -3.168827
1669186320.807790, 5.276140, 1.541770, -3.120825
1669186320.906622, 5.311651, 1.518974, -3.055824
1669186321.006618, 5.347350, 1.507272, -3.027822
1669186321.106616, 5.392021, 1.495418, -2.980821
1669186321.206612, 5.418749, 1.483869, -2.946820
1669186321.305610, 5.427344, 1.461530, -2.920819
1669186321.406609, 5.453695, 1.427793, -2.893818
1669186321.508638, 5.488454, 1.360623, -2.862816
1669186321.606603, 5.487702, 1.316249, -2.827815
1669186321.708641, 5.505081, 1.282665, -2.787814
1669186321.809014, 5.522461, 1.249080, -2.762813
1669186321.907660, 5.539652, 1.204402, -2.768812
1669186322.007831, 5.556655, 1.148630, -2.759811
1669186322.107924, 5.564687, 1.093011, -2.704810
1669186322.207817, 5.572718, 1.037391, -2.667809
1669186322.307885, 5.589910, 0.992713, -2.605808
1669186322.404588, 5.598129, 0.948187, -2.560807
1669186322.514608, 5.615321, 0.903508, -2.522806
1669186322.608602, 5.650832, 0.880713, -2.487805
1669186322.708637, 5.668211, 0.847128, -2.459804
1669186322.807837, 5.685590, 0.813544, -2.412803
1669186322.908576, 5.702594, 0.757772, -2.406801
1669186323.007325, 5.710625, 0.702152, -2.364801
1669186323.107624, 5.709873, 0.657778, -2.314800
1669186323.207946, 5.709497, 0.635591, -2.248800
1669186323.302559, 5.709121, 0.613404, -2.220800
1669186323.406579, 5.699397, 0.569183, -2.237800
1669186323.513551, 5.698833, 0.535902, -2.249799
1669186323.606549, 5.698080, 0.491528, -2.212799
1669186323.706550, 5.688356, 0.447306, -2.166799
1669186323.809031, 5.687792, 0.414026, -2.137798
